image,status,success,gt_xyxy,pred_center,pred_xyxy,pred_conf,topk,hit_center
/home/xy3371/Yolo/datasets/myar/images/class_medium_big_indoor_20240504_185604_sample_8_t04.866s_01.jpg,pred_ok,1,"510.0,731.0,1080.0,1101.0","793.8,924.0","508.3,731.9,1079.3,1116.0",0.9083,1,"793.8,924.0"
/home/xy3371/Yolo/datasets/myar/images/class_medium_big_indoor_20240504_185604_sample_9_t04.866s_01.jpg,pred_ok,1,"776.0,814.0,1080.0,1155.0","917.4,984.1","755.5,818.8,1079.3,1149.5",0.8970,1,"917.4,984.1"
/home/xy3371/Yolo/datasets/myar/images/clubhouse_bright_medium_indoor_20240504_191913_sample_2_t04.866s_01.jpg,pred_ok,1,"574.0,869.0,934.0,1423.0","731.7,1146.0","521.9,840.8,941.6,1451.2",0.3857,1,"731.7,1146.0"
/home/xy3371/Yolo/datasets/myar/images/clubhouse_bright_medium_indoor_20240504_191913_sample_7_t04.866s_01.jpg,pred_ok,1,"194.0,1288.0,784.0,1738.0","411.3,1304.4","22.4,836.2,800.3,1772.6",0.5624,1,"411.3,1304.4"
/home/xy3371/Yolo/datasets/myar/images/clubhouse_medium_big_indoor_20240504_192039_sample_10_t04.866s_01.jpg,pred_ok,1,"28.0,851.0,664.0,1714.0","361.1,1287.3","0.7,806.6,721.5,1768.0",0.8113,1,"361.1,1287.3"
/home/xy3371/Yolo/datasets/myar/images/clubhouse_medium_big_indoor_20240504_192039_sample_11_t04.866s_01.jpg,no_pred,0,"10.0,1515.0,653.0,2311.0",NA,NA,NA,1,NA
/home/xy3371/Yolo/datasets/myar/images/clubhouse_medium_big_indoor_20240504_192039_sample_12_t04.866s_01.jpg,pred_ok,1,"24.0,897.0,805.0,1748.0","394.3,955.2","0.3,129.0,788.4,1781.4",0.9248,1,"394.3,955.2"
/home/xy3371/Yolo/datasets/myar/images/clubhouse_medium_big_indoor_20240504_192039_sample_3_t04.866s_01.jpg,pred_ok,0,"27.0,492.0,236.0,1337.0","541.2,793.6","2.3,180.1,1080.0,1407.2",0.5741,1,NA
/home/xy3371/Yolo/datasets/myar/images/clubhouse_medium_big_indoor_20240504_192039_sample_4_t04.866s_01.jpg,pred_ok,1,"68.0,637.0,594.0,1448.0","341.8,1017.9","0.5,572.6,683.0,1463.2",0.8676,1,"341.8,1017.9"
/home/xy3371/Yolo/datasets/myar/images/gym_medium_small_indoor_20240504_192448_sample_4_t04.866s_01.jpg,pred_ok,1,"94.0,1055.0,741.0,1740.0","375.7,1384.6","120.5,1007.6,631.0,1761.7",0.6655,1,"375.7,1384.6"
/home/xy3371/Yolo/datasets/myar/images/gym_medium_small_indoor_20240504_192448_sample_8_t04.866s_01.jpg,pred_ok,1,"365.0,577.0,696.0,994.0","547.4,816.6","421.2,634.4,673.6,998.7",0.5895,1,"547.4,816.6"
/home/xy3371/Yolo/datasets/myar/images/hall_low_small_indoor_20240504_193142_sample_10_t04.866s_01.jpg,pred_ok,0,"225.0,1020.0,671.0,1580.0","583.2,440.0","86.9,125.7,1079.5,754.3",0.6818,1,NA
/home/xy3371/Yolo/datasets/myar/images/hall_low_small_indoor_20240504_193142_sample_11_t04.866s_01.jpg,pred_ok,0,"362.0,1055.0,771.0,1535.0","218.4,868.2","97.5,743.3,339.2,993.1",0.6892,1,NA
/home/xy3371/Yolo/datasets/myar/images/hall_low_small_indoor_20240504_193142_sample_3_t04.866s_01.jpg,pred_ok,1,"259.0,1126.0,661.0,1520.0","451.7,1315.5","308.8,1136.4,594.5,1494.6",0.3044,1,"451.7,1315.5"
/home/xy3371/Yolo/datasets/myar/images/hall_low_small_indoor_20240504_193142_sample_4_t04.866s_01.jpg,pred_ok,0,"351.0,912.0,721.0,1346.0","775.8,273.9","687.2,205.8,864.5,342.0",0.1460,1,NA
/home/xy3371/Yolo/datasets/myar/images/hall_low_small_indoor_20240504_193142_sample_5_t04.866s_01.jpg,pred_ok,1,"427.0,1014.0,607.0,1357.0","518.0,1127.5","431.1,1011.4,604.9,1243.6",0.3053,1,"518.0,1127.5"
/home/xy3371/Yolo/datasets/myar/images/hall_low_small_indoor_20240504_193142_sample_6_t04.866s_01.jpg,no_label,NA,NA,NA,NA,NA,1,NA
/home/xy3371/Yolo/datasets/myar/images/hall_low_small_indoor_20240504_193142_sample_7_t04.866s_01.jpg,pred_ok,0,"342.0,1158.0,604.0,1508.0","285.4,1390.5","0.3,1061.1,570.4,1719.9",0.6927,1,NA
/home/xy3371/Yolo/datasets/myar/images/hall_low_small_indoor_20240504_193142_sample_9_t04.866s_01.jpg,pred_ok,1,"450.0,811.0,688.0,1208.0","578.5,997.0","458.6,782.0,698.4,1211.9",0.2100,1,"578.5,997.0"
/home/xy3371/Yolo/datasets/myar/images/hall_medium_big_indoor_20240504_185130_sample_6_t04.866s_01.jpg,pred_ok,1,"68.0,874.0,442.0,1218.0","249.3,1039.5","0.0,825.3,498.7,1253.7",0.7397,1,"249.3,1039.5"
/home/xy3371/Yolo/datasets/myar/images/hall_medium_big_indoor_20240504_185130_sample_7_t04.866s_01.jpg,pred_ok,1,"354.0,861.0,734.0,1094.0","560.6,988.8","335.4,844.5,785.7,1133.0",0.8539,1,"560.6,988.8"
/home/xy3371/Yolo/datasets/myar/images/hall_medium_big_indoor_20240504_185130_sample_8_t04.866s_01.jpg,pred_ok,0,"21.0,968.0,1080.0,1909.0","542.8,915.6","5.7,124.4,1080.0,1706.8",0.8847,1,NA
/home/xy3371/Yolo/datasets/myar/images/hall_medium_small_indoor_sofa_20240504_193326_sample_10_t04.866s_01.jpg,pred_ok,0,"605.0,1463.0,836.0,1760.0","477.4,952.8","0.5,134.1,954.2,1771.6",0.7263,1,NA
/home/xy3371/Yolo/datasets/myar/images/hall_medium_small_indoor_sofa_20240504_193326_sample_3_t04.866s_01.jpg,pred_ok,0,"542.0,1371.0,741.0,1649.0","541.7,1452.6","5.4,828.7,1078.1,2076.5",0.3609,1,NA
/home/xy3371/Yolo/datasets/myar/images/hall_medium_small_indoor_sofa_20240504_193326_sample_4_t04.866s_01.jpg,pred_ok,1,"542.0,1300.0,825.0,1671.0","698.7,1471.8","569.4,1297.9,828.0,1645.7",0.5188,1,"698.7,1471.8"
/home/xy3371/Yolo/datasets/myar/images/hall_medium_small_indoor_sofa_20240504_193326_sample_5_t04.866s_01.jpg,pred_ok,1,"618.0,1025.0,762.0,1326.0","692.5,1154.7","615.9,1020.7,769.2,1288.7",0.6746,1,"692.5,1154.7"
/home/xy3371/Yolo/datasets/myar/images/hallway_bright_medium_indoor_20240504_192145_sample_3_t04.866s_01.jpg,pred_ok,1,"49.0,211.0,747.0,1597.0","539.1,873.8","0.0,119.1,1078.2,1628.4",0.2973,1,"539.1,873.8"
/home/xy3371/Yolo/datasets/myar/images/hallway_bright_medium_indoor_20240504_192145_sample_4_t04.866s_01.jpg,pred_ok,0,"26.0,140.0,393.0,1688.0","487.8,925.1","2.8,128.3,972.7,1721.9",0.3065,1,NA
/home/xy3371/Yolo/datasets/myar/images/rit_medium_medium_indoor_20240504_192307_sample_3_t04.866s_01.jpg,pred_ok,1,"429.0,820.0,937.0,1563.0","592.6,1166.9","220.6,753.2,964.6,1580.5",0.4639,1,"592.6,1166.9"
/home/xy3371/Yolo/datasets/myar/images/rit_medium_medium_indoor_20240504_192307_sample_4_t04.866s_01.jpg,pred_ok,1,"38.0,852.0,583.0,1503.0","295.7,1024.8","0.7,504.9,590.8,1544.6",0.3760,1,"295.7,1024.8"
/home/xy3371/Yolo/datasets/myar/images/rit_medium_medium_indoor_20240504_192307_sample_5_t04.866s_01.jpg,no_pred,0,"13.0,1443.0,289.0,1718.0",NA,NA,NA,1,NA
/home/xy3371/Yolo/datasets/myar/images/rit_medium_medium_indoor_20240504_192307_sample_6_t04.866s_01.jpg,pred_ok,0,"866.0,1211.0,1080.0,1686.0","960.6,1193.3","841.7,665.7,1079.6,1721.0",0.6392,1,NA
/home/xy3371/Yolo/datasets/myar/images/ritntid_medium_medium_indoor_20240504_192225_sample_3_t04.866s_01.jpg,pred_ok,1,"475.0,649.0,887.0,1380.0","654.1,998.8","421.1,615.5,887.1,1382.2",0.4076,1,"654.1,998.8"
/home/xy3371/Yolo/datasets/myar/images/ritntid_medium_medium_indoor_20240504_192225_sample_4_t04.866s_01.jpg,pred_ok,0,"792.0,600.0,1080.0,1640.0","539.6,941.2","0.0,125.2,1079.2,1757.1",0.2826,1,NA
/home/xy3371/Yolo/datasets/myar/images/ritntid_medium_medium_indoor_20240504_192225_sample_5_t04.866s_01.jpg,pred_ok,0,"244.0,1258.0,1067.0,2200.0","138.0,476.1","0.2,105.5,275.8,846.7",0.1007,1,NA
/home/xy3371/Yolo/datasets/myar/images/ritntid_medium_medium_indoor_20240504_192225_sample_6_t04.866s_01.jpg,pred_ok,0,"24.0,795.0,387.0,1378.0","538.4,962.1","1.2,131.5,1075.5,1792.6",0.7160,1,NA
/home/xy3371/Yolo/datasets/myar/images/ritntid_medium_medium_indoor_20240504_192225_sample_7_t02.930s_01.jpg,pred_ok,0,"41.0,689.0,209.0,1383.0","539.2,955.7","2.4,135.6,1076.0,1775.9",0.8481,1,NA
/home/xy3371/Yolo/datasets/myar/images/ritroom_low_big_indoor_20240504_185443_sample_3_t04.866s_01.jpg,pred_ok,1,"107.0,741.0,869.0,1158.0","543.7,1119.5","8.6,580.2,1078.8,1658.7",0.5503,1,"543.7,1119.5"
/home/xy3371/Yolo/datasets/myar/images/ritroom_low_big_indoor_20240504_185443_sample_4_t04.866s_01.jpg,no_pred,0,"17.0,1038.0,1080.0,1737.0",NA,NA,NA,1,NA
/home/xy3371/Yolo/datasets/myar/images/ritroom_low_big_indoor_20240504_185443_sample_5_t04.866s_01.jpg,pred_ok,0,"410.0,1023.0,1080.0,1743.0","543.3,957.8","6.5,236.4,1080.0,1679.3",0.4572,1,NA
/home/xy3371/Yolo/datasets/myar/images/ritsau_medium_big_indoor_20240504_185705_sample_10_t04.866s_01.jpg,pred_ok,1,"35.0,191.0,846.0,1252.0","501.2,766.9","0.5,139.1,1001.9,1394.8",0.9145,1,"501.2,766.9"
/home/xy3371/Yolo/datasets/myar/images/ritsau_medium_big_indoor_20240504_185705_sample_4_t04.866s_01.jpg,pred_ok,1,"44.0,317.0,1080.0,1217.0","540.6,774.3","1.2,131.2,1080.0,1417.4",0.9248,1,"540.6,774.3"
/home/xy3371/Yolo/datasets/myar/images/ritsau_medium_big_indoor_20240504_185705_sample_5_t04.866s_01.jpg,pred_ok,1,"57.0,200.0,1080.0,1358.0","540.5,858.3","1.4,129.5,1079.7,1587.1",0.8911,1,"540.5,858.3"
/home/xy3371/Yolo/datasets/myar/images/ritsau_medium_big_indoor_20240504_185705_sample_6_t04.866s_01.jpg,pred_ok,1,"64.0,263.0,1033.0,1126.0","538.2,692.9","0.0,95.5,1076.5,1290.2",0.8381,1,"538.2,692.9"
/home/xy3371/Yolo/datasets/myar/images/ritsau_medium_big_indoor_20240504_185705_sample_7_t04.866s_01.jpg,pred_ok,1,"107.0,254.0,1060.0,1520.0","543.0,872.1","6.1,131.7,1080.0,1612.6",0.9260,1,"543.0,872.1"
/home/xy3371/Yolo/datasets/myar/images/ritsau_medium_big_indoor_20240504_185705_sample_8_t04.866s_01.jpg,pred_ok,0,"633.0,186.0,1080.0,961.0","543.1,614.4","6.3,130.3,1080.0,1098.4",0.7603,1,NA
/home/xy3371/Yolo/datasets/myar/images/rittable_medium_medium_indoor_20240504_192943_sample_2_t04.866s_01.jpg,no_label,NA,NA,NA,NA,NA,1,NA
/home/xy3371/Yolo/datasets/myar/images/rittable_medium_medium_indoor_20240504_192943_sample_3_t04.866s_01.jpg,pred_ok,1,"6.0,494.0,273.0,1288.0","156.7,728.0","0.2,182.3,313.2,1273.7",0.5880,1,"156.7,728.0"
/home/xy3371/Yolo/datasets/myar/images/sau_medium_big_indoor_20240504_185300_sample_13_t04.866s_01.jpg,pred_ok,1,"54.0,668.0,771.0,1246.0","486.7,951.2","0.4,0.0,972.9,1902.5",0.2834,1,"486.7,951.2"
/home/xy3371/Yolo/datasets/myar/images/sau_medium_big_indoor_20240504_185300_sample_14_t04.866s_01.jpg,no_pred,0,"37.0,789.0,1080.0,1611.0",NA,NA,NA,1,NA
/home/xy3371/Yolo/datasets/myar/images/sau_medium_big_indoor_20240504_185300_sample_15_t04.866s_01.jpg,pred_ok,1,"426.0,918.0,1080.0,1737.0","752.3,1281.8","425.0,825.8,1079.7,1737.9",0.6440,1,"752.3,1281.8"
/home/xy3371/Yolo/datasets/myar/images/sau_medium_big_indoor_20240504_185300_sample_4_t04.866s_01.jpg,pred_ok,1,"282.0,726.0,1080.0,1468.0","651.8,879.8","227.8,284.4,1075.7,1475.2",0.7247,1,"651.8,879.8"
/home/xy3371/Yolo/datasets/myar/images/sau_medium_big_indoor_20240504_185300_sample_5_t04.866s_01.jpg,pred_ok,0,"65.0,683.0,1072.0,1565.0","540.0,419.6","0.0,0.5,1080.0,838.7",0.3350,1,NA
/home/xy3371/Yolo/datasets/myar/images/sau_medium_big_indoor_20240504_185300_sample_7_t04.866s_01.jpg,pred_ok,1,"34.0,612.0,451.0,1226.0","207.8,919.5","0.1,556.1,415.5,1282.9",0.8330,1,"207.8,919.5"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-02_191346.jpg,pred_ok,1,"419.0,889.0,765.0,1221.0","574.3,1082.2","408.1,910.3,740.6,1254.1",0.8093,1,"574.3,1082.2"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-02_191937.jpg,pred_ok,1,"453.0,1000.0,698.0,1338.0","554.9,1164.7","407.3,1018.0,702.5,1311.4",0.7755,1,"554.9,1164.7"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-02_191944.jpg,pred_ok,0,"347.0,977.0,665.0,1288.0","548.3,1347.2","26.5,898.4,1070.0,1795.9",0.8395,1,NA
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-02_191952.jpg,pred_ok,1,"553.0,868.0,782.0,1174.0","681.7,1024.9","559.0,887.4,804.4,1162.4",0.7358,1,"681.7,1024.9"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-02_192057.jpg,pred_ok,1,"178.0,638.0,993.0,1249.0","572.6,930.2","215.9,614.6,929.3,1245.8",0.8581,1,"572.6,930.2"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-02_192154.jpg,pred_ok,1,"93.0,532.0,962.0,1357.0","529.4,1139.3","58.1,492.0,1000.7,1786.6",0.8762,1,"529.4,1139.3"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-02_192240.jpg,pred_ok,1,"158.0,566.0,976.0,1206.0","545.9,902.4","167.2,532.3,924.6,1272.5",0.8719,1,"545.9,902.4"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-02_192517.jpg,pred_ok,1,"351.0,732.0,870.0,1388.0","592.0,1099.9","307.0,758.8,877.0,1440.9",0.8684,1,"592.0,1099.9"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-02_192521.jpg,pred_ok,0,"181.0,794.0,722.0,1252.0","503.2,1275.9","38.7,777.9,967.7,1774.0",0.5507,1,NA
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-02_192528.jpg,pred_ok,1,"288.0,491.0,964.0,1369.0","603.1,973.6","216.1,548.3,990.0,1398.9",0.8947,1,"603.1,973.6"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-02_194447.jpg,pred_ok,1,"353.0,1049.0,748.0,1383.0","586.6,1202.8","395.3,1040.2,778.0,1365.4",0.8158,1,"586.6,1202.8"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-02_194458.jpg,pred_ok,1,"353.0,1006.0,833.0,1391.0","611.2,1175.0","439.2,1025.9,783.2,1324.1",0.8007,1,"611.2,1175.0"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-02_194515.jpg,pred_ok,0,"336.0,677.0,554.0,915.0","516.7,2101.0","0.1,1802.0,1033.3,2400.0",0.6829,1,NA
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-02_194517.jpg,pred_ok,1,"453.0,735.0,696.0,961.0","603.4,851.5","466.2,749.1,740.7,953.8",0.2250,1,"603.4,851.5"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-02_194521.jpg,pred_ok,1,"464.0,1071.0,793.0,1386.0","655.0,1228.2","482.2,1088.8,827.8,1367.5",0.8056,1,"655.0,1228.2"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-02_194533.jpg,pred_ok,1,"401.0,1149.0,741.0,1432.0","601.9,1287.4","444.1,1150.8,759.7,1424.1",0.7666,1,"601.9,1287.4"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-02_194538.jpg,pred_ok,0,"473.0,869.0,647.0,1074.0","518.1,2062.3","2.0,1791.1,1034.3,2333.6",0.7821,1,NA
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-04_145534.jpg,pred_ok,1,"44.0,729.0,1037.0,1486.0","548.7,1096.7","79.3,706.8,1018.1,1486.6",0.9076,1,"548.7,1096.7"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-04_145552.jpg,pred_ok,1,"53.0,841.0,1056.0,1563.0","531.3,1211.7","24.1,804.3,1038.5,1619.1",0.9195,1,"531.3,1211.7"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-04_145601.jpg,pred_ok,1,"114.0,852.0,1031.0,1468.0","538.0,1124.4","102.4,804.3,973.6,1444.5",0.8998,1,"538.0,1124.4"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-04_145606.jpg,pred_ok,1,"156.0,841.0,950.0,1301.0","566.9,1078.5","195.8,803.4,938.0,1353.7",0.8311,1,"566.9,1078.5"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-04_145706.jpg,pred_ok,1,"15.0,812.0,1070.0,1481.0","547.7,1167.8","15.9,754.7,1079.5,1580.8",0.9100,1,"547.7,1167.8"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-04_145732.jpg,pred_ok,1,"16.0,725.0,1062.0,1410.0","546.0,1077.5","22.0,660.1,1070.1,1494.9",0.8905,1,"546.0,1077.5"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-04_145744.jpg,pred_ok,1,"36.0,701.0,999.0,1361.0","536.6,1004.5","45.4,645.6,1027.8,1363.4",0.8866,1,"536.6,1004.5"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-04_145754.jpg,pred_ok,1,"47.0,688.0,980.0,1283.0","542.3,1000.8","64.2,651.0,1020.4,1350.5",0.8865,1,"542.3,1000.8"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-04_150002.jpg,pred_ok,1,"22.0,671.0,1073.0,1389.0","546.3,1047.8","14.7,661.3,1078.0,1434.3",0.9027,1,"546.3,1047.8"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-04_150005.jpg,pred_ok,1,"53.0,739.0,1079.0,1413.0","547.1,1084.5","15.5,664.3,1078.6,1504.7",0.8745,1,"547.1,1084.5"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-04_150009.jpg,pred_ok,1,"47.0,725.0,1071.0,1325.0","555.4,1019.1","47.3,658.4,1063.6,1379.7",0.8852,1,"555.4,1019.1"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-04_150016.jpg,pred_ok,1,"50.0,815.0,1068.0,1495.0","552.4,1157.3","26.5,738.1,1078.3,1576.6",0.8322,1,"552.4,1157.3"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-04-04_150020.jpg,pred_ok,1,"54.0,748.0,998.0,1275.0","526.7,1041.2","64.9,708.1,988.4,1374.2",0.8811,1,"526.7,1041.2"
/home/xy3371/Yolo/datasets/myar/images/sdc_medium_big_indoor_20240504_185409_sample_10_t04.866s_01.jpg,pred_ok,1,"6.0,972.0,771.0,1646.0","371.0,1287.7","0.2,815.8,741.8,1759.7",0.6016,1,"371.0,1287.7"
/home/xy3371/Yolo/datasets/myar/images/sdc_medium_big_indoor_20240504_185409_sample_11_t04.866s_01.jpg,pred_ok,1,"31.0,895.0,778.0,1691.0","397.1,1275.6","1.0,815.4,793.3,1735.8",0.2231,1,"397.1,1275.6"
/home/xy3371/Yolo/datasets/myar/images/sdc_medium_big_indoor_20240504_185409_sample_8_t04.866s_01.jpg,no_pred,0,"106.0,1098.0,1054.0,1746.0",NA,NA,NA,1,NA
/home/xy3371/Yolo/datasets/myar/images/small_medium_small_indoor_vertical_20240504_193611_sample_3_t04.866s_01.jpg,no_pred,0,"498.0,1100.0,588.0,1243.0",NA,NA,NA,1,NA
/home/xy3371/Yolo/datasets/myar/images/small_medium_small_indoor_vertical_20240504_193611_sample_4_t04.866s_01.jpg,no_pred,0,"535.0,946.0,617.0,1100.0",NA,NA,NA,1,NA
/home/xy3371/Yolo/datasets/myar/images/study_bright_small_indoor_table_20240504_193726_sample_10_t04.866s_01.jpg,no_pred,0,"277.0,1123.0,902.0,1794.0",NA,NA,NA,1,NA
/home/xy3371/Yolo/datasets/myar/images/study_bright_small_indoor_table_20240504_193726_sample_11_t04.866s_01.jpg,pred_ok,1,"368.0,918.0,657.0,1414.0","514.8,1100.1","375.4,916.2,654.1,1283.9",0.1324,1,"514.8,1100.1"
/home/xy3371/Yolo/datasets/myar/images/study_bright_small_indoor_table_20240504_193726_sample_12_t04.866s_01.jpg,pred_ok,0,"632.0,1201.0,894.0,1655.0","467.4,1250.5","0.8,750.2,934.0,1750.8",0.5809,1,NA
/home/xy3371/Yolo/datasets/myar/images/study_bright_small_indoor_table_20240504_193726_sample_4_t04.866s_01.jpg,no_pred,0,"288.0,895.0,557.0,1321.0",NA,NA,NA,1,NA
/home/xy3371/Yolo/datasets/myar/images/study_bright_small_indoor_table_20240504_193726_sample_5_t04.866s_01.jpg,pred_ok,1,"925.0,866.0,1080.0,1294.0","1002.8,1027.9","925.5,828.9,1080.0,1226.8",0.2005,1,"1002.8,1027.9"
/home/xy3371/Yolo/datasets/myar/images/study_bright_small_indoor_table_20240504_193726_sample_7_t04.866s_01.jpg,pred_ok,1,"720.0,881.0,1080.0,1357.0","913.5,1101.9","748.8,857.6,1078.1,1346.2",0.6454,1,"913.5,1101.9"
/home/xy3371/Yolo/datasets/myar/images/study_bright_small_indoor_table_20240504_193726_sample_8_t04.866s_01.jpg,pred_ok,0,"1.0,901.0,244.0,1575.0","533.9,868.6","0.3,167.1,1067.5,1570.2",0.2445,1,NA
/home/xy3371/Yolo/datasets/myar/images/study_bright_small_indoor_table_20240504_193726_sample_9_t04.866s_01.jpg,pred_ok,1,"474.0,609.0,760.0,1195.0","538.6,731.4","3.4,429.0,1073.9,1033.8",0.4363,1,"538.6,731.4"
